match_group_id,in_CDHES,in_UN_TRC,in_UN_TRC_2,in_Rescate,date,geocode,perp1,perp2
1,1,0,1,1,1988-08-09,60307,ARMY,UNKNOWN
2,1,0,0,1,1982-12-05,100800,UNKNOWN,UNKNOWN
3,1,0,0,0,1980-03-25,131600,UNKNOWN,UNKNOWN
4,1,0,0,0,1986-02-01,111300,UNKNOWN,UNKNOWN
5,1,0,0,0,1981-06-18,111700,UNKNOWN,UNKNOWN
6,1,0,0,1,1987-02-03,51300,PARAMILITARY,UNKNOWN
7,1,0,0,0,1981-07-01,111100,ARMY,UNKNOWN
8,1,1,1,0,1980-04-26,61500,UNKNOWN,UNKNOWN
9,1,1,0,0,1980-10-03,60100,DEATH SQUAD,UNKNOWN
10,1,0,0,0,1983-03-14,71500,UNKNOWN,UNKNOWN
11,1,0,0,0,1991-07-18,80100,UNKNOWN,UNKNOWN
12,1,0,0,0,1987-05-20,121200,UNKNOWN,UNKNOWN
13,1,0,0,0,1986-02-01,111300,UNKNOWN,UNKNOWN
14,1,1,0,0,1980-10-03,60302,DEATH SQUAD,UNKNOWN
15,1,0,1,0,1980-04-08,41604,NATIONAL GUARD,UNKNOWN
16,1,0,0,0,1988-04-19,110400,UNKNOWN,UNKNOWN
17,1,0,0,0,1985-06-01,71500,DEATH SQUAD,UNKNOWN
18,1,0,0,0,1992-05-11,52200,UNKNOWN,UNKNOWN
19,1,0,0,0,1980-07-30,111100,ARMY,UNKNOWN
20,1,0,1,0,1991-07-18,80134,ARMY,UNKNOWN
21,1,0,0,0,1980-07-01,111900,DEATH SQUAD,UNKNOWN
22,1,0,0,0,1981-05-21,100500,ARMY,UNKNOWN
23,1,0,0,0,1982-01-25,101100,ARMY,UNKNOWN
24,1,0,0,0,1980-11-10,61000,UNKNOWN,UNKNOWN
25,1,0,0,0,1981-06-18,111700,UNKNOWN,UNKNOWN
26,1,0,0,0,1991-05-18,10000,UNKNOWN,UNKNOWN
27,1,0,0,1,1988-02-11,121500,ARMY,UNKNOWN
28,1,0,0,0,1981-07-01,100500,OTHER,UNKNOWN
29,1,0,0,0,1986-02-01,111300,UNKNOWN,UNKNOWN
30,1,0,0,0,1980-07-01,101000,NATIONAL GUARD,UNKNOWN
31,1,0,0,0,1986-06-24,111100,ARMY,UNKNOWN
32,1,0,0,0,1981-02-15,111600,ARMY,UNKNOWN
33,1,0,0,0,1980-11-01,111100,ARMY,UNKNOWN
34,1,0,0,0,1991-09-05,60800,UNKNOWN,UNKNOWN
35,1,0,0,0,1987-08-09,60100,UNKNOWN,UNKNOWN
36,1,0,1,1,1987-02-03,51304,DEATH SQUAD,UNKNOWN
37,1,1,0,0,1984-10-04,43312,OTHER,UNKNOWN
38,1,0,0,0,1980-04-28,60000,UNKNOWN,UNKNOWN
39,1,0,1,0,1980-10-03,60101,DEATH SQUAD,UNKNOWN
40,1,0,0,0,1989-07-01,101100,NATIONAL GUARD,UNKNOWN
41,1,0,0,0,1983-04-09,90100,DEATH SQUAD,UNKNOWN
42,1,0,0,0,1980-06-29,70100,UNKNOWN,UNKNOWN
43,1,0,0,0,1980-04-08,60100,DEATH SQUAD,UNKNOWN
44,1,0,0,0,1981-07-01,110900,UNKNOWN,UNKNOWN
45,1,0,0,0,1987-05-30,60000,TREASURY POLICE,UNKNOWN
46,1,1,0,0,1980-02-17,41200,ARMY,UNKNOWN
47,1,0,0,0,1981-07-01,120100,ARMY,UNKNOWN
48,1,0,0,0,1982-02-16,111100,ARMY,UNKNOWN
49,1,0,0,0,1980-01-18,60100,NATIONAL GUARD,UNKNOWN
50,1,0,0,0,1990-12-09,110500,UNKNOWN,UNKNOWN
51,1,0,1,1,1982-12-26,60608,DEATH SQUAD,UNKNOWN
