"stratum","x0001","x0010","x0011","x0100","x0101","x0110","x0111","x1000","x1001","x1010","x1011","x1100","x1101","x1110","x1111","stratum.type","nk","sname","dgalog.025","dgalog.250","dgalog.nhat","dgalog.750","dgalog.975","sat.renormlog","diptestlog","diptest.pvallog","topgraphlog"
"1980",1656,1671,407,116,38,14,17,315,60,36,10,4,7,1,3,"year",4355,"year-1980",10975,14157,15551,16794,20787,NA,0.0313617417193897,8.05361866085264e-09,39
"1981",1552,1086,232,230,401,8,19,328,98,15,18,10,43,2,2,"year",4044,"year-1981",11070,12082,16903,20494,30150,NA,0.0452344953384678,0,32
"1982",1132,740,170,971,123,16,12,293,137,18,21,36,86,7,16,"year",3778,"year-1982",10971,25744,33552,39512,53443,NA,0.00811450900441726,0.971362104323656,57
"1983",568,315,34,997,131,13,35,102,45,2,3,18,52,1,9,"year",2325,"year-1983",6022,8249,9846,12081,19644,NA,0.00628147333699836,0.996044012588783,56
"1984",288,206,14,509,50,24,2,121,44,3,4,25,32,7,4,"year",1333,"year-1984",4020,4464,4711,5062,6047,NA,0.00818965517241379,0.967419310389416,19
"1985",126,76,15,431,23,13,6,99,7,0,1,8,12,1,2,"year",820,"year-1985",2306,2894,3318,3798,5220,NA,0.00700803212851406,0.992720756923249,52
"1986",148,91,9,207,75,10,0,57,16,1,2,8,14,1,0,"year",639,"year-1986",1664,2075,2292,2515,3109,NA,0.007,0.992757495611023,13
"1987",136,62,8,146,87,10,8,60,7,1,1,10,20,0,4,"year",560,"year-1987",1148,1318,1443,1596,1990,NA,0.0087,0.934521189122748,16
"1988",174,69,8,179,107,6,7,84,14,2,1,9,18,1,3,"year",682,"year-1988",1527,1787,1988,2224,2769,NA,0.0081259842519685,0.970760017249289,13
"1989",122,77,13,311,55,8,14,131,16,5,2,17,22,4,5,"year",802,"year-1989",2183,2522,2755,3017,3593,NA,0.00713157894736842,0.992155657896837,42
"1990",90,46,14,141,40,5,2,124,7,1,2,11,8,1,1,"year",493,"year-1990",1342,1583,1741,1907,2406,NA,0.00891803278688525,0.915598155846151,8
"1980s0",82,115,3,0,0,0,0,0,0,0,0,0,0,0,0,"yr.sm",200,"yr.sm-1980s0",280,394,491,642,1591,NA,0.00641447368421052,0.995435673439148,12
"1980s1",696,699,204,59,22,5,12,137,28,18,6,2,1,0,2,"yr.sm",1891,"yr.sm-1980s1",4491,5783,6222,6800,8375,NA,0.00637640449438202,0.995609800642971,8
"1980s2",878,857,200,57,16,9,5,178,32,18,4,2,6,1,1,"yr.sm",2264,"yr.sm-1980s2",5546,5905,6131,6392,8143,NA,0.00932222222222222,0.871640019888324,22
"1981s1",730,524,97,59,21,3,6,144,42,10,5,1,9,1,2,"yr.sm",1654,"yr.sm-1981s1",5052,5596,5948,6504,9870,NA,0.00688888888888889,0.993265714125224,30
"1981s2",764,484,134,171,380,5,13,184,56,5,13,9,34,1,0,"yr.sm",2253,"yr.sm-1981s2",4401,4630,4777,4952,8544,NA,0.00635555555555555,0.995705162993389,29
"1982s1",500,380,109,296,52,10,2,169,83,13,16,18,42,1,8,"yr.sm",1699,"yr.sm-1982s1",3492,7115,8187,9247,11556,NA,0.0145479786761439,0.172228754651623,52
