dy,nstrat,small,qscore4,qscore3,qscore2,qscore1,qscore0,use,use2
AHUACHAPAN-1980,20,2,0,1,5,4,10,re.yr-WEST.1980,re.pd2-WEST.8081
AHUACHAPAN-1981,21,5,0,2,4,6,9,re.yr-WEST.1981,re.pd2-WEST.8081
AHUACHAPAN-1982,20,2,1,1,5,3,10,re.pd2-WEST.8283,re.pd2-WEST.8283
AHUACHAPAN-1983,19,3,1,2,10,3,3,re.pd2-WEST.8283,re.pd2-WEST.8283
AHUACHAPAN-1984,15,1,0,0,9,1,5,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1985,13,1,0,0,6,1,6,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1986,11,1,0,0,3,1,7,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1987,11,1,0,0,3,1,7,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1988,11,1,0,0,3,1,7,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1989,11,1,0,0,3,1,7,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1990,11,1,0,0,3,1,7,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1991,10,2,0,0,3,2,5,re.pd-WEST.8492,re.pd-WEST.8492
AHUACHAPAN-1992,10,2,0,0,3,2,5,re.pd-WEST.8492,re.pd-WEST.8492
CABANAS-1980,27,2,0,1,3,2,21,dp.yr-CABANAS.1980,re3.pd-CUSC-CABA.8083
CABANAS-1981,26,1,0,2,3,1,20,pd2.5.dp-8182.CABANAS,re3.pd-CUSC-CABA.8083
CABANAS-1982,25,2,1,2,6,2,14,pd2.5.dp-8182.CABANAS,re3.pd-CUSC-CABA.8083
CABANAS-1983,24,2,1,1,5,1,16,re3.yr-CUSC-CABA.1983,re3.pd-CUSC-CABA.8083
CABANAS-1984,26,4,0,0,3,4,19,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1985,23,4,0,0,2,4,17,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1986,20,6,0,0,1,6,13,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1987,18,5,0,0,1,5,12,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1988,17,4,0,1,1,3,12,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1989,15,3,0,2,1,1,11,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1990,14,2,0,1,1,1,11,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1991,13,3,0,1,1,2,9,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CABANAS-1992,13,3,0,1,1,2,9,dp.pd-CABANAS.8492,re3.pd-CUSC-CABA.8492
CHALATENANGO-1980,26,0,1,2,5,0,18,dp.yr-CHALATENANGO.1980,pd3.dp-8082.CHALATENANGO
CHALATENANGO-1981,26,0,1,2,5,0,18,dp.yr-CHALATENANGO.1981,pd3.dp-8082.CHALATENANGO
CHALATENANGO-1982,26,0,4,1,6,0,15,pd2.dp-8283.CHALATENANGO,pd3.dp-8082.CHALATENANGO
CHALATENANGO-1983,25,2,3,1,10,1,10,pd2.dp-8283.CHALATENANGO,pd3.dp-8385.CHALATENANGO
CHALATENANGO-1984,27,5,0,0,9,5,13,pd2.dp-8485.CHALATENANGO,pd3.dp-8385.CHALATENANGO
CHALATENANGO-1985,24,4,0,0,7,4,13,pd2.dp-8485.CHALATENANGO,pd3.dp-8385.CHALATENANGO
CHALATENANGO-1986,23,7,0,1,5,5,12,pd3.dp-8688.CHALATENANGO,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1987,22,7,0,2,5,4,11,pd3.dp-8688.CHALATENANGO,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1988,21,5,0,3,5,1,12,pd3.dp-8688.CHALATENANGO,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1989,19,3,0,1,4,2,12,re.pd3-WCENTRAL.8992,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1990,18,3,0,0,4,3,11,re.pd3-WCENTRAL.8992,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1991,14,2,0,0,4,2,8,re.pd3-WCENTRAL.8992,pd4.dp-8692.CHALATENANGO
CHALATENANGO-1992,14,2,0,0,4,2,8,re.pd3-WCENTRAL.8992,pd4.dp-8692.CHALATENANGO
CUSCATLAN-1980,26,0,0,1,4,3,18,dp.yr-CUSCATLAN.1980,re3.pd-CUSC-CABA.8083
CUSCATLAN-1981,26,1,0,1,5,3,17,pd2.5.dp-8182.CUSCATLAN,re3.pd-CUSC-CABA.8083
CUSCATLAN-1982,26,2,3,0,6,4,13,pd2.5.dp-8182.CUSCATLAN,re3.pd-CUSC-CABA.8083
CUSCATLAN-1983,27,0,2,0,7,2,16,re3.yr-CUSC-CABA.1983,re3.pd-CUSC-CABA.8083
CUSCATLAN-1984,28,1,0,0,3,2,23,pd2.dp-8485.CUSCATLAN,re3.pd-CUSC-CABA.8492
CUSCATLAN-1985,25,1,0,0,2,2,21,pd2.dp-8485.CUSCATLAN,re3.pd-CUSC-CABA.8492
CUSCATLAN-1986,21,2,0,0,0,2,19,re2.yr-SSREGION.1986,re3.pd-CUSC-CABA.8492
CUSCATLAN-1987,20,2,0,0,0,2,18,re2.yr-SSREGION.1987,re3.pd-CUSC-CABA.8492
CUSCATLAN-1988,20,1,0,0,0,1,19,re2.yr-SSREGION.1988,re3.pd-CUSC-CABA.8492
