"dy","nstrat","small","qscore4","qscore3","qscore2","qscore1","qscore0"
"AHUACHAPAN-1980",20,0,0,0,3,7,10
"AHUACHAPAN-1981",21,3,0,0,4,9,8
"AHUACHAPAN-1982",20,1,0,1,2,7,10
"AHUACHAPAN-1983",19,2,0,1,2,12,4
"AHUACHAPAN-1984",14,0,0,0,0,10,4
"AHUACHAPAN-1985",12,0,0,0,0,7,5
"AHUACHAPAN-1986",10,0,0,0,0,4,6
"AHUACHAPAN-1987",10,0,0,0,0,4,6
"AHUACHAPAN-1988",10,0,0,0,0,4,6
"AHUACHAPAN-1989",10,0,0,0,0,4,6
"AHUACHAPAN-1990",10,0,0,0,0,4,6
"AHUACHAPAN-1991",9,1,0,0,0,5,4
"AHUACHAPAN-1992",9,1,0,0,0,5,4
"CABANAS-1980",27,2,0,0,4,2,21
"CABANAS-1981",26,1,0,1,4,2,19
"CABANAS-1982",25,2,0,2,3,6,14
"CABANAS-1983",23,1,0,1,1,5,16
"CABANAS-1984",24,3,0,0,0,5,19
"CABANAS-1985",21,4,0,0,0,5,16
"CABANAS-1986",18,6,0,0,0,6,12
"CABANAS-1987",16,4,0,0,0,4,12
"CABANAS-1988",16,4,0,0,1,3,12
"CABANAS-1989",14,3,0,0,2,1,11
"CABANAS-1990",13,2,0,0,1,1,11
"CABANAS-1991",12,3,0,0,1,2,9
"CABANAS-1992",12,3,0,0,1,2,9
"CHALATENANGO-1980",26,0,0,1,5,2,18
"CHALATENANGO-1981",26,0,0,1,5,3,17
"CHALATENANGO-1982",26,0,0,4,3,4,15
"CHALATENANGO-1983",25,2,0,3,2,10,10
"CHALATENANGO-1984",26,5,0,0,1,12,13
"CHALATENANGO-1985",23,4,0,0,1,10,12
"CHALATENANGO-1986",21,6,0,0,2,7,12
"CHALATENANGO-1987",20,6,0,0,3,6,11
"CHALATENANGO-1988",20,5,0,0,3,5,12
"CHALATENANGO-1989",18,3,0,0,1,5,12
"CHALATENANGO-1990",17,3,0,0,1,5,11
"CHALATENANGO-1991",13,2,0,0,1,4,8
"CHALATENANGO-1992",13,2,0,0,1,4,8
"CUSCATLAN-1980",26,0,0,0,5,2,19
"CUSCATLAN-1981",26,1,0,0,5,5,16
"CUSCATLAN-1982",25,1,0,3,2,8,12
"CUSCATLAN-1983",27,0,0,2,1,8,16
"CUSCATLAN-1984",27,1,0,0,0,4,23
"CUSCATLAN-1985",24,1,0,0,0,4,20
"CUSCATLAN-1986",20,2,0,0,0,2,18
"CUSCATLAN-1987",19,2,0,0,0,2,17
"CUSCATLAN-1988",19,1,0,0,0,1,18
"CUSCATLAN-1989",19,0,0,0,0,0,19
"CUSCATLAN-1990",19,2,0,0,0,2,17
"CUSCATLAN-1991",14,1,0,0,0,1,13
"CUSCATLAN-1992",14,1,0,0,0,1,13
"LA LIBERTAD-1980",26,2,0,0,7,3,16
"LA LIBERTAD-1981",25,0,0,0,7,2,16
"LA LIBERTAD-1982",26,2,0,3,4,6,13
"LA LIBERTAD-1983",25,2,0,2,2,9,12
"LA LIBERTAD-1984",24,2,0,0,0,5,19
"LA LIBERTAD-1985",24,3,0,0,0,6,18
"LA LIBERTAD-1986",23,3,0,0,0,3,20
"LA LIBERTAD-1987",22,3,0,0,0,3,19
"LA LIBERTAD-1988",23,3,0,0,0,3,20
"LA LIBERTAD-1989",23,1,0,0,0,1,22
"LA LIBERTAD-1990",23,5,0,0,0,5,18
"LA LIBERTAD-1991",16,3,0,0,0,3,13
"LA LIBERTAD-1992",16,3,0,0,0,3,13
"LA PAZ-1980",27,2,0,0,4,3,20
"LA PAZ-1981",26,1,0,1,6,1,18
"LA PAZ-1982",25,1,0,2,6,4,13
"LA PAZ-1983",23,4,0,1,2,9,11
"LA PAZ-1984",21,5,0,0,0,8,13
"LA PAZ-1985",19,5,0,0,0,6,13
"LA PAZ-1986",19,6,0,0,0,6,13
"LA PAZ-1987",19,6,0,0,0,6,13
"LA PAZ-1988",19,6,0,0,2,4,13
"LA PAZ-1989",16,5,0,1,3,1,11
"LA PAZ-1990",14,3,0,1,1,1,11
"LA PAZ-1991",13,4,0,1,1,2,9
"LA PAZ-1992",13,4,0,1,1,2,9
"LA UNION-1980",21,2,0,1,5,4,11
"LA UNION-1981",21,0,0,1,5,4,11
"LA UNION-1982",20,3,0,1,2,5,12
"LA UNION-1983",17,5,0,1,2,7,7
"LA UNION-1984",14,5,0,0,1,6,7
"LA UNION-1985",12,3,0,0,1,3,8
"LA UNION-1986",12,3,0,0,0,3,9
"LA UNION-1987",14,5,0,0,0,5,9
"LA UNION-1988",14,5,0,0,0,5,9
"LA UNION-1989",10,1,0,0,0,1,9
"LA UNION-1990",10,1,0,0,0,1,9
"LA UNION-1991",9,2,0,0,0,2,7
"LA UNION-1992",9,2,0,0,0,2,7
"MORAZAN-1980",27,4,0,1,5,7,14
"MORAZAN-1981",27,0,0,1,5,5,16
"MORAZAN-1982",25,4,0,1,2,6,16
"MORAZAN-1983",20,6,0,1,2,8,9
"MORAZAN-1984",16,6,0,0,1,7,8
"MORAZAN-1985",14,4,0,0,1,4,9
"MORAZAN-1986",14,4,0,0,0,4,10
"MORAZAN-1987",16,6,0,0,0,6,10
"MORAZAN-1988",16,6,0,0,0,6,10
"MORAZAN-1989",12,2,0,0,0,2,10
"MORAZAN-1990",12,2,0,0,0,2,10
"MORAZAN-1991",11,3,0,0,0,3,8
"MORAZAN-1992",11,3,0,0,0,3,8
"SAN MIGUEL-1980",24,4,0,1,4,4,15
"SAN MIGUEL-1981",24,3,0,1,4,5,14
"SAN MIGUEL-1982",24,4,0,1,1,5,17
"SAN MIGUEL-1983",21,7,0,1,2,8,10
"SAN MIGUEL-1984",18,7,0,0,2,7,9
"SAN MIGUEL-1985",16,5,0,0,1,5,10
"SAN MIGUEL-1986",16,5,0,0,0,5,11
"SAN MIGUEL-1987",17,6,0,0,0,6,11
"SAN MIGUEL-1988",17,6,0,0,0,6,11
"SAN MIGUEL-1989",12,1,0,0,0,1,11
"SAN MIGUEL-1990",12,1,0,0,0,1,11
"SAN MIGUEL-1991",11,2,0,0,0,2,9
"SAN MIGUEL-1992",11,2,0,0,0,2,9
"SAN SALVADOR-1980",26,0,0,0,5,2,19
"SAN SALVADOR-1981",26,0,0,0,5,3,18
"SAN SALVADOR-1982",26,0,0,3,2,6,15
"SAN SALVADOR-1983",27,0,0,2,1,9,15
"SAN SALVADOR-1984",27,0,0,0,0,3,24
