"stype","sname","dept","year","dy","stratsize","questionable.diptest","bad.diptest","big.nhat.disagreement","wideci","quality","small"
"re.pd2.5","re.pd2.5-WEST.1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",3,0,0,0,0,0,0
"re.yr","re.yr-WEST.1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",3,0,0,0,0,0,0
"re2.pd2.5","re2.pd2.5-WEST2.1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",3,0,0,0,0,0,0
"re2.yr","re2.yr-WEST2.1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",3,0,0,0,0,0,0
"re3.pd2","re3.pd2-AHUA-SONS.8081","AHUACHAPAN",1980,"AHUACHAPAN-1980",4,0,0,0,1,1,0
"re.pd2","re.pd2-WEST.8081","AHUACHAPAN",1980,"AHUACHAPAN-1980",6,0,0,0,0,0,0
"re2.pd2","re2.pd2-WEST2.8081","AHUACHAPAN",1980,"AHUACHAPAN-1980",6,0,0,0,0,0,0
"re3.pd3","re3.pd3-AHUA-SONS.8082","AHUACHAPAN",1980,"AHUACHAPAN-1980",6,0,0,0,1,1,0
"re3.pd","re3.pd-AHUA-SONS.8083","AHUACHAPAN",1980,"AHUACHAPAN-1980",8,0,0,0,1,1,0
"re.pd3","re.pd3-WEST.8082","AHUACHAPAN",1980,"AHUACHAPAN-1980",9,0,0,0,0,0,0
"re2.pd3","re2.pd3-WEST2.8082","AHUACHAPAN",1980,"AHUACHAPAN-1980",9,0,0,0,0,0,0
"re.pd","re.pd-WEST.8083","AHUACHAPAN",1980,"AHUACHAPAN-1980",12,0,0,1,0,0,0
"re2.pd","re2.pd-WEST2.8083","AHUACHAPAN",1980,"AHUACHAPAN-1980",12,0,0,1,0,0,0
"dept","dept-AHUACHAPAN","AHUACHAPAN",1980,"AHUACHAPAN-1980",13,0,0,0,1,1,0
"period2.5","period2.5-1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",14,1,1,0,0,2,0
"year","year-1980","AHUACHAPAN",1980,"AHUACHAPAN-1980",14,1,1,0,0,2,0
