Department,1930,1950,1961,1971,1981,1992,2007
Ahuachapán,79033,94646,130710,183682,241323,260563,319503
Cabañas,59081,77628,94590,139312,179909,136293,149326
Chalatenango,83216,105859,129897,186003,235757,180627,192788
Cuscatlán,83363,90099,113042,158458,203978,167290,231480
La Libertad,118360,144004,203480,293076,388538,522071,660652
La Paz,85632,96843,130659,194196,249635,246147,308087
La Unión,74568,109715,148108,230103,309879,251143,238217
Morazán,75661,96729,119381,170706,215163,166772,174406
San Miguel,126582,171234,231821,337325,434047,380442,434003
San Salvador,191125,296452,463228,681656,979683,1477766,1567156
Santa Ana,154493,202455,259155,375186,445462,451620,523655
San Vicente,77724,87577,112920,160534,206959,135471,161645
Sonsonate,100217,120327,166932,239688,321989,354641,438960
Usulután,125306,162349,207061,304369,399912,317079,344235
