deptcode,dept,deptname,CDHES,Rescate,UNTRC,UNTRC2,nk,dgalog.025,dgalog.nhat,dgalog.975,pop1981,CDHESpc,CDHESpc.ord,CDHESpc.ord.top5,CDHESpc.ord.top3,Rescatepc,Rescatepc.ord,Rescatepc.ord.top5,Rescatepc.ord.top3,UNTRCpc,UNTRCpc.ord,UNTRCpc.ord.top5,UNTRCpc.ord.top3,UNTRC2pc,UNTRC2pc.ord,UNTRC2pc.ord.top5,UNTRC2pc.ord.top3,nkpc,nkpc.ord,nkpc.ord.top5,nkpc.ord.top3,dgalog.nhatpc,dgalog.nhatpc.ord,dgalog.nhatpc.ord.top5,dgalog.nhatpc.ord.top3,burdenlo,burdenhi,format.ci,format.ci.pc,cap,caplo,caphi,format.cap
1,AHUA,Ahuachapán,36,45,130,95,412,710,1775,3725,241,0.14937759336099585,1,8,10,0.18672199170124482,1,8,10,0.5394190871369294,4,8,10,0.3941908713692946,1,8,10,1.7095435684647302,3,8,10,7.365145228215767,3,8,10,2.95,15.46,"1775 (710, 3725)","7.37 (2.95, 15.46)",0.23,0.11,0.58,"0.23 (0.11, 0.58)"
2,CABA,Cabañas,59,204,484,306,840,1864,2198,2633,180,0.3277777777777778,4,8,10,1.1333333333333333,7,8,10,2.688888888888889,11,11,11,1.7,8,8,10,4.666666666666667,8,8,10,12.21111111111111,5,8,10,10.36,14.63,"2198 (1864, 2633)","12.21 (10.36, 14.63)",0.38,0.32,0.45,"0.38 (0.32, 0.45)"
3,CHAL,Chalatenango,109,291,1903,1099,2702,5496,12459,16974,236,0.461864406779661,6,8,10,1.2330508474576272,9,9,10,8.063559322033898,13,13,13,4.656779661016949,11,11,11,11.44915254237288,13,13,13,52.79237288135593,13,13,13,23.29,71.92,"12459 (5496, 16974)","52.79 (23.29, 71.92)",0.22,0.16,0.49,"0.22 (0.16, 0.49)"
4,CUSC,Cuscatlán,228,728,733,864,1880,6880,8701,11274,204,1.1176470588235294,12,12,12,3.5686274509803924,13,13,13,3.593137254901961,12,12,12,4.235294117647059,10,10,10,9.215686274509803,11,11,11,42.65196078431372,11,11,11,33.73,55.26,"8701 (6880, 11274)","42.65 (33.73, 55.26)",0.22,0.17,0.27,"0.22 (0.17, 0.27)"
5,LALI,La Libertad,279,395,311,538,1147,4643,6810,10366,389,0.7172236503856041,8,8,10,1.0154241645244215,6,8,10,0.7994858611825193,7,8,10,1.3830334190231361,5,8,10,2.948586118251928,6,8,10,17.506426735218508,9,9,10,11.94,26.65,"6810 (4643, 10366)","17.51 (11.94, 26.65)",0.17,0.11,0.25,"0.17 (0.11, 0.25)"
6,LAPA,La Paz,121,225,226,372,742,2845,3844,5384,250,0.484,7,8,10,0.9,5,8,10,0.904,8,8,10,1.488,7,8,10,2.968,7,8,10,15.376,7,8,10,11.38,21.54,"3844 (2845, 5384)","15.38 (11.38, 21.54)",0.19,0.14,0.26,"0.19 (0.14, 0.26)"
8,MORA,Morazán,180,698,389,1314,1734,2987,3287,4957,215,0.8372093023255814,9,9,10,3.2465116279069766,12,12,12,1.8093023255813954,9,9,10,6.111627906976744,12,12,12,8.065116279069768,10,10,10,15.288372093023256,6,8,10,13.89,23.06,"3287 (2987, 4957)","15.29 (13.89, 23.06)",0.53,0.35,0.58,"0.53 (0.35, 0.58)"
9,SANM,San Miguel,170,255,89,192,581,1713,2326,3750,434,0.391705069124424,5,8,10,0.5875576036866359,4,8,10,0.20506912442396313,1,8,10,0.4423963133640553,2,8,10,1.3387096774193548,2,8,10,5.359447004608295,2,8,10,3.95,8.64,"2326 (1713, 3750)","5.36 (3.95, 8.64)",0.25,0.15,0.34,"0.25 (0.15, 0.34)"
10,SANS,San Salvador,1729,2384,759,2342,5373,19632,27107,37988,980,1.7642857142857142,13,13,13,2.4326530612244897,11,11,11,0.7744897959183673,6,8,10,2.389795918367347,9,9,10,5.4826530612244895,9,9,10,27.660204081632653,10,10,10,20.03,38.76,"27107 (19632, 37988)","27.66 (20.03, 38.76)",0.2,0.14,0.27,"0.2 (0.14, 0.27)"
11,SANV,San Vicente,179,321,554,1402,1961,7205,9961,18832,207,0.8647342995169082,11,11,11,1.5507246376811594,10,10,10,2.676328502415459,10,10,10,6.7729468599033815,13,13,13,9.473429951690822,12,12,12,48.1207729468599,12,12,12,34.81,90.98,"9961 (7205, 18832)","48.12 (34.81, 90.98)",0.2,0.1,0.27,"0.2 (0.1, 0.27)"
12,SANT,Santa Ana,134,534,215,447,1079,1729,6967,15530,445,0.30112359550561796,3,8,10,1.2,8,8,10,0.48314606741573035,2,8,10,1.0044943820224719,4,8,10,2.4247191011235953,4,8,10,15.656179775280899,8,8,10,3.89,34.9,"6967 (1729, 15530)","15.66 (3.89, 34.9)",0.15,0.07,0.62,"0.15 (0.07, 0.62)"
13,SONS,Sonsonate,77,99,157,224,391,793,1337,2870,322,0.2391304347826087,2,8,10,0.30745341614906835,2,8,10,0.48757763975155277,3,8,10,0.6956521739130435,3,8,10,1.2142857142857142,1,8,10,4.1521739130434785,1,8,10,2.46,8.91,"1337 (793, 2870)","4.15 (2.46, 8.91)",0.29,0.14,0.49,"0.29 (0.14, 0.49)"
14,USUL,Usulután,345,228,217,563,1103,3591,4577,6462,400,0.8625,10,10,10,0.57,3,8,10,0.5425,5,8,10,1.4075,6,8,10,2.7575,5,8,10,11.4425,4,8,10,8.98,16.16,"4577 (3591, 6462)","11.44 (8.98, 16.16)",0.24,0.17,0.31,"0.24 (0.17, 0.31)"
