deptname|pop1981|nk|format.ci|format.ci.pc|format.cap
Ahuachapán|241|412|1775 (710, 3725)|7.37 (2.95, 15.46)|0.23 (0.11, 0.58)
Cabañas|180|840|2198 (1864, 2633)|12.21 (10.36, 14.63)|0.38 (0.32, 0.45)
Chalatenango|236|2702|12459 (5496, 16974)|52.79 (23.29, 71.92)|0.22 (0.16, 0.49)
Cuscatlán|204|1880|8701 (6880, 11274)|42.65 (33.73, 55.26)|0.22 (0.17, 0.27)
La Libertad|389|1147|6810 (4643, 10366)|17.51 (11.94, 26.65)|0.17 (0.11, 0.25)
La Paz|250|742|3844 (2845, 5384)|15.38 (11.38, 21.54)|0.19 (0.14, 0.26)
Morazán|215|1734|3287 (2987, 4957)|15.29 (13.89, 23.06)|0.53 (0.35, 0.58)
San Miguel|434|581|2326 (1713, 3750)|5.36 (3.95, 8.64)|0.25 (0.15, 0.34)
San Salvador|980|5373|27107 (19632, 37988)|27.66 (20.03, 38.76)|0.2 (0.14, 0.27)
San Vicente|207|1961|9961 (7205, 18832)|48.12 (34.81, 90.98)|0.2 (0.1, 0.27)
Santa Ana|445|1079|6967 (1729, 15530)|15.66 (3.89, 34.9)|0.15 (0.07, 0.62)
Sonsonate|322|391|1337 (793, 2870)|4.15 (2.46, 8.91)|0.29 (0.14, 0.49)
Usulután|400|1103|4577 (3591, 6462)|11.44 (8.98, 16.16)|0.24 (0.17, 0.31)
NA|NA|NA|NA|NA|NA
