year|nk|format.ci|format.cap.ci
1980|4155|12404 (10612, 15488)|0.33 (0.27, 0.39)
1981|3907|10792 (9787, 15955)|0.36 (0.24, 0.4)
1982|3679|22904 (12897, 37000)|0.16 (0.1, 0.29)
1983|2325|9846 (6023, 19645)|0.24 (0.12, 0.39)
1984|1333|4712 (4021, 6047)|0.28 (0.22, 0.33)
1985|820|3318 (2307, 5220)|0.25 (0.16, 0.36)
1986|639|2292 (1665, 3109)|0.28 (0.21, 0.38)
1987|560|1444 (1149, 1990)|0.39 (0.28, 0.49)
1988|682|1988 (1528, 2769)|0.34 (0.25, 0.45)
1989|802|2755 (2184, 3593)|0.29 (0.22, 0.37)
1990|493|1742 (1343, 2406)|0.28 (0.2, 0.37)
1991-1992|217|778 (537, 1183)|0.28 (0.18, 0.4)
