dataset,newviol,year,month,date,dept,muni,perp1,pdesc1,perp2,pdesc2
CDHES,Killing,1988,8,1988-08-09,SAN SALVADOR,APOPA,ARMY,LONG RANGE RECONNAISSANCE PATROL,UNKNOWN,UNKNOWN
CDHES,Killing,1986,4,1986-04-25,NA,UNKNOWN,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1982,12,1982-12-05,SAN VICENTE,SAN SEBASTIAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,0,1,0-01-01,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,3,1980-03-25,MORAZAN,OSICALA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1986,2,1986-02-01,USULUTAN,NUEVA GRANADA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1990,8,1990-08-27,NA,UNKNOWN,ARMY,3RD INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-18,USULUTAN,SAN BUENAVENTURA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,2,1987-02-03,LA LIBERTAD,QUEZALTEPEQUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,USULUTAN,JUCUARAN,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1982,6,1982-06-07,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1988,7,1988-07-17,SAN SALVADOR,PANCHIMALCO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-26,SAN SALVADOR,SAN MARTIN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
